ts_ms,iso_utc,temp_c,rh_pct,vpd_kpa,soil_mv,soil_pct,soil_temp_c
1789776678788,2026-09-19T00:11:18Z,29.59,46.38,2.2222,1600,30.08,29.1
1789777578788,2026-09-19T00:26:18Z,29.78,47.03,2.2193,1625,26.6,29.2
1789778478788,2026-09-19T00:41:18Z,29.91,47.11,2.2326,1613,28.07,29.3
1789779379015,2026-09-19T00:56:19Z,29.58,49.15,2.1062,1624,26.6,29.3
1789780279015,2026-09-19T01:11:19Z,29.73,49.3,2.1181,1624,26.6,29.3
1789781179015,2026-09-19T01:26:19Z,28.69,46.34,2.1112,1613,28.07,29.3
1789782079015,2026-09-19T01:41:19Z,28.48,42.43,2.2377,1622,26.87,29.3
1789782978909,2026-09-19T01:56:18Z,27.89,42.53,2.1585,1610,28.74,29.1
1789783878909,2026-09-19T02:11:18Z,27.8,41.25,2.195,1639,25.13,29.0
1789784778909,2026-09-19T02:26:18Z,28.45,42.57,2.2283,1613,28.74,28.9
1789785678819,2026-09-19T02:41:18Z,27.64,39.49,2.2397,1621,27.81,28.8
1789786578819,2026-09-19T02:56:18Z,27.83,39.99,2.246,1613,29.28,28.6
1789787478819,2026-09-19T03:11:18Z,29.09,42.73,2.306,1633,26.6,28.6
1789788378819,2026-09-19T03:26:18Z,28.06,40.83,2.2444,1625,27.67,28.6
1789789278560,2026-09-19T03:41:18Z,29.04,42.88,2.2933,1626,27.54,28.6
1789790178560,2026-09-19T03:56:18Z,29.43,42.86,2.3463,1634,26.34,28.7
1789791078560,2026-09-19T04:11:18Z,29.47,42.32,2.374,1615,28.61,28.8
1789791978639,2026-09-19T04:26:18Z,29.27,42.37,2.3447,1626,27.14,28.8
1789792878639,2026-09-19T04:41:18Z,28.06,43.09,2.1587,1633,26.2,28.8
1789793778639,2026-09-19T04:56:18Z,28.34,42.92,2.2007,1625,27.27,28.8
1789794678639,2026-09-19T05:11:18Z,28.39,42.55,2.2214,1633,26.6,28.6
1789798278350,2026-09-19T06:11:18Z,26.76,38.23,2.1715,1646,25.53,28.2
1789799178351,2026-09-19T06:26:18Z,27.93,40.19,2.2516,1647,25.67,28.1
1789800078350,2026-09-19T06:41:18Z,27.89,40.42,2.2377,1638,26.87,28.1
1789800978350,2026-09-19T06:56:18Z,28.26,41.5,2.245,1633,27.41,28.1
1789801878351,2026-09-19T07:11:18Z,28.18,42.51,2.196,1634,27.41,28.1
1789801878441,2026-09-19T07:11:18Z,28.18,42.51,2.196,1634,27.41,28.1
1789802778440,2026-09-19T07:26:18Z,27.94,42.62,2.1614,1648,25.27,28.2
1789803678440,2026-09-19T07:41:18Z,28.06,44.36,2.1105,1644,26.07,28.1
1789804578441,2026-09-19T07:56:18Z,28.27,44.7,2.1234,1648,25.53,28.1
1789805478440,2026-09-19T08:11:18Z,26.5,40.7,2.053,1638,27.01,28.0
1789806378014,2026-09-19T08:26:18Z,26.37,38.08,2.1274,1638,27.41,27.8
1789807278014,2026-09-19T08:41:18Z,25.68,38.2,2.0384,1651,25.94,27.6
1789808178014,2026-09-19T08:56:18Z,25.9,38.29,2.0621,1650,26.47,27.4
1789809077950,2026-09-19T09:11:17Z,25.74,38.38,2.0397,1657,25.94,27.2
1789809977950,2026-09-19T09:26:17Z,25.56,38.26,2.022,1658,25.94,27.1
1789810877950,2026-09-19T09:41:17Z,25.39,38.73,1.9864,1658,26.34,26.9
1789811778032,2026-09-19T09:56:18Z,25.2,38.4,1.9747,1650,27.67,26.7
1789812678032,2026-09-19T10:11:18Z,25.11,38.72,1.954,1658,27.01,26.5
1789813578045,2026-09-19T10:26:18Z,24.92,38.11,1.9512,1672,25.53,26.3
1789814478045,2026-09-19T10:41:18Z,24.45,37.95,1.9021,1673,25.8,26.1
1789815378045,2026-09-19T10:56:18Z,24.52,38.35,1.8978,1678,25.4,25.9
1789816277817,2026-09-19T11:11:17Z,24.38,38.48,1.878,1672,26.47,25.8
