ts_ms,iso_utc,temp_c,rh_pct,vpd_kpa,soil_mv,soil_pct,soil_temp_c
1790035872043,2026-09-22T00:11:12Z,25.85,47.84,1.7378,1877,0.0,25.7
1790036772043,2026-09-22T00:26:12Z,26.04,47.91,1.7551,1853,2.54,25.7
1790037672043,2026-09-22T00:41:12Z,25.91,49.99,1.6721,1896,0.0,25.7
1790038571828,2026-09-22T00:56:11Z,22.3,52.61,1.2761,1923,0.0,25.6
1790039471828,2026-09-22T01:11:11Z,21.5,53.38,1.1955,1898,0.0,25.2
1790040371828,2026-09-22T01:26:11Z,22.07,54.02,1.2209,1920,0.0,24.8
1790041271828,2026-09-22T01:41:11Z,21.03,55.96,1.0973,1941,0.0,24.4
1790042171923,2026-09-22T01:56:11Z,21.24,56.15,1.1067,1955,0.0,24.0
1790043071923,2026-09-22T02:11:11Z,21.05,60.31,0.9901,1919,0.0,23.6
1790043971923,2026-09-22T02:26:11Z,20.23,62.72,0.8842,1964,0.0,23.3
1790044871698,2026-09-22T02:41:11Z,22.41,56.54,1.1781,1943,0.0,23.2
1790045771698,2026-09-22T02:56:11Z,22.14,55.9,1.176,1963,0.0,23.1
1790046671698,2026-09-22T03:11:11Z,22.45,53.31,1.2687,1955,0.0,23.0
1790047571698,2026-09-22T03:26:11Z,22.18,52.41,1.2721,1964,0.0,22.9
1790048471417,2026-09-22T03:41:11Z,23.66,49.88,1.4653,1969,0.0,22.9
1790049371417,2026-09-22T03:56:11Z,25.17,48.32,1.6538,1998,0.0,23.1
1790050271417,2026-09-22T04:11:11Z,25.11,48.59,1.6393,1978,0.0,23.3
1790051171325,2026-09-22T04:26:11Z,24.26,49.48,1.5312,1986,0.0,23.5
1790054771325,2026-09-22T05:26:11Z,24.96,50.95,1.5501,1955,0.0,24.1
1790055671325,2026-09-22T05:41:11Z,25.19,50.61,1.5824,1966,0.0,24.2
1790056571325,2026-09-22T05:56:11Z,25.64,48.68,1.6887,1978,0.0,24.4
1790057471534,2026-09-22T06:11:11Z,24.87,51.04,1.539,1966,0.0,24.5
1790058371534,2026-09-22T06:26:11Z,25.29,51.22,1.5721,1978,0.0,24.6
1790059271534,2026-09-22T06:41:11Z,24.85,52.0,1.507,1984,0.0,24.7
1790060171534,2026-09-22T06:56:11Z,25.06,52.5,1.5101,1989,0.0,24.7
1790061071220,2026-09-22T07:11:11Z,25.24,52.6,1.5231,1964,0.0,24.7
1790061971220,2026-09-22T07:26:11Z,20.04,60.98,0.9147,1989,0.0,24.7
1790062871220,2026-09-22T07:41:11Z,17.45,67.3,0.6519,1989,0.0,24.1
1790063771322,2026-09-22T07:56:11Z,18.69,67.33,0.7041,1987,0.0,23.5
