ts_ms,iso_utc,temp_c,rh_pct,vpd_kpa,soil_mv,soil_pct
1789257960852,2026-09-13T00:06:00Z,27.3,42.27,2.0948,1255,89.72
1789258860852,2026-09-13T00:21:00Z,28.7,44.67,2.1782,1278,88.12
1789259760852,2026-09-13T00:36:00Z,28.71,44.82,2.1736,1271,88.54
1789260660852,2026-09-13T00:51:00Z,26.47,41.03,2.038,1280,88.12
1789261560417,2026-09-13T01:06:00Z,26.1,41.49,1.9784,1276,88.54
1789262460417,2026-09-13T01:21:00Z,27.84,44.9,2.0634,1283,88.26
1789263360417,2026-09-13T01:36:00Z,26.87,43.29,2.0065,1280,88.47
1789264260417,2026-09-13T01:51:00Z,27.33,43.29,2.0614,1279,88.54
1789264260435,2026-09-13T01:51:00Z,27.33,43.29,2.0614,1279,88.54
1789265160435,2026-09-13T02:06:00Z,28.28,43.67,2.1642,1280,88.47
1789266060435,2026-09-13T02:21:00Z,28.73,47.74,2.0609,1280,88.4
1789266960435,2026-09-13T02:36:00Z,27.42,43.3,2.0719,1291,87.71
1789266960534,2026-09-13T02:36:00Z,27.42,43.3,2.0719,1291,87.71
1789267860534,2026-09-13T02:51:00Z,28.36,46.11,2.0801,1290,87.78
1789268760534,2026-09-13T03:06:00Z,28.73,48.51,2.0306,1289,87.78
1789269660534,2026-09-13T03:21:00Z,27.76,52.24,1.7802,1289,87.78
1789270560534,2026-09-13T03:36:00Z,27.79,52.68,1.7669,1299,87.08
1789271460534,2026-09-13T03:51:00Z,27.87,53.23,1.7545,1300,87.01
1789272360296,2026-09-13T04:06:00Z,26.53,44.91,1.9106,1282,88.33
1789273260296,2026-09-13T04:21:00Z,26.08,42.3,1.9487,1295,87.5
1789274160296,2026-09-13T04:36:00Z,25.79,41.42,1.9448,1295,87.71
1789275060296,2026-09-13T04:51:00Z,25.56,40.92,1.9349,1302,87.43
1789275960175,2026-09-13T05:06:00Z,25.38,40.57,1.9256,1326,86.04
1789276860175,2026-09-13T05:21:00Z,25.16,41.06,1.885,1325,86.32
1789277760175,2026-09-13T05:36:00Z,24.95,41.05,1.8619,1327,86.32
1789278660175,2026-09-13T05:51:00Z,24.66,41.06,1.8296,1317,87.22
1789279560168,2026-09-13T06:06:00Z,24.51,41.13,1.8111,1327,86.74
1789280460168,2026-09-13T06:21:00Z,24.35,42.37,1.7561,1327,86.94
1789281360168,2026-09-13T06:36:00Z,24.29,41.92,1.7635,1348,85.69
1789282260168,2026-09-13T06:51:00Z,24.17,42.02,1.7478,1336,86.67
1789282260175,2026-09-13T06:51:00Z,24.17,42.02,1.7478,1336,86.67
1789283160175,2026-09-13T07:06:00Z,24.04,42.29,1.7262,1358,85.35
1789284060175,2026-09-13T07:21:00Z,24.01,42.52,1.7162,1347,86.25
1789284960175,2026-09-13T07:36:00Z,23.99,42.06,1.7278,1339,87.01
1789285860175,2026-09-13T07:51:00Z,23.83,42.7,1.6924,1362,85.49
1789286760067,2026-09-13T08:06:00Z,23.79,42.65,1.6898,1363,85.62
1789287660067,2026-09-13T08:21:00Z,23.72,42.76,1.6795,1360,85.9
