ts_ms,iso_utc,temp_c,rh_pct,vpd_kpa,soil_mv,soil_pct,soil_temp_c
1789603883364,2026-09-17T00:11:23Z,26.7,60.71,1.3764,1591,36.36,26.3
1789604783364,2026-09-17T00:26:23Z,26.86,60.16,1.4088,1634,30.61,26.3
1789605683364,2026-09-17T00:41:23Z,26.79,61.0,1.3734,1599,35.03,26.4
1789606583364,2026-09-17T00:56:23Z,27.05,61.34,1.3824,1615,32.89,26.4
1789607483364,2026-09-17T01:11:23Z,26.62,62.32,1.3138,1604,34.22,26.5
1789608383482,2026-09-17T01:26:23Z,27.02,60.72,1.4021,1612,33.02,26.6
1789609283482,2026-09-17T01:41:23Z,27.16,60.36,1.4266,1603,34.22,26.6
1789610183482,2026-09-17T01:56:23Z,27.22,59.83,1.4508,1570,38.37,26.7
1789611083482,2026-09-17T02:11:23Z,26.92,61.02,1.3833,1590,35.7,26.7
1789611983500,2026-09-17T02:26:23Z,26.89,61.55,1.3621,1592,35.43,26.7
1789612883500,2026-09-17T02:41:23Z,27.61,59.56,1.4942,1599,34.36,26.8
1789613783409,2026-09-17T02:56:23Z,27.6,60.03,1.476,1591,35.16,26.9
1789614683409,2026-09-17T03:11:23Z,27.52,59.97,1.4713,1612,32.22,27.0
1789615583409,2026-09-17T03:26:23Z,27.78,59.32,1.5181,1583,35.96,27.1
1789616483296,2026-09-17T03:41:23Z,27.02,62.25,1.3475,1599,33.82,27.1
1789617383296,2026-09-17T03:56:23Z,27.24,61.67,1.386,1580,36.36,27.1
1789618283296,2026-09-17T04:11:23Z,26.97,62.3,1.3418,1599,33.82,27.1
1789619183296,2026-09-17T04:26:23Z,27.04,61.91,1.3612,1588,35.29,27.1
1789620083296,2026-09-17T04:41:23Z,27.46,60.5,1.4468,1617,31.42,27.1
1789623682815,2026-09-17T05:41:22Z,25.87,46.8,1.7746,1592,35.29,26.8
1789624582815,2026-09-17T05:56:22Z,25.3,45.11,1.7701,1598,34.63,26.7
1789625482815,2026-09-17T06:11:22Z,24.63,44.91,1.707,1598,35.03,26.5
1789626382815,2026-09-17T06:26:22Z,24.44,44.58,1.6979,1612,33.56,26.3
1789627282815,2026-09-17T06:41:22Z,26.34,48.65,1.7611,1625,32.22,26.1
1789628182903,2026-09-17T06:56:22Z,27.01,50.3,1.773,1612,33.69,26.2
1789629082903,2026-09-17T07:11:22Z,24.53,44.97,1.695,1613,33.82,26.1
1789629982598,2026-09-17T07:26:22Z,24.09,43.07,1.7079,1639,30.61,25.9
1789630882598,2026-09-17T07:41:22Z,23.81,42.46,1.6975,1604,35.7,25.7
1789632682598,2026-09-17T08:11:22Z,23.27,41.5,1.6706,1633,32.75,25.2
1789633582598,2026-09-17T08:26:22Z,23.67,40.52,1.74,1637,32.62,25.0
1789634482598,2026-09-17T08:41:22Z,23.17,41.15,1.6704,1644,32.09,24.8
1789634482608,2026-09-17T08:41:22Z,23.17,41.15,1.6704,1644,32.09,24.8
1789635382608,2026-09-17T08:56:22Z,22.83,41.07,1.6387,1645,32.35,24.6
1789637182608,2026-09-17T09:26:22Z,22.81,40.32,1.6575,1643,33.29,24.2
1789638982728,2026-09-17T09:56:22Z,22.4,40.18,1.6206,1670,30.35,23.9
1789639882728,2026-09-17T10:11:22Z,22.48,39.68,1.6421,1659,32.22,23.7
1789640782728,2026-09-17T10:26:22Z,22.58,39.91,1.6458,1645,34.22,23.6
1789641682728,2026-09-17T10:41:22Z,24.14,47.85,1.5692,1645,34.49,23.5
1789642582631,2026-09-17T10:56:22Z,24.52,45.42,1.6802,1679,29.68,23.6
1789643482631,2026-09-17T11:11:22Z,22.64,42.84,1.5712,1662,31.95,23.6
1789644382631,2026-09-17T11:26:22Z,22.4,41.39,1.5878,1682,29.68,23.4
1789645282458,2026-09-17T11:41:22Z,22.28,41.37,1.5768,1678,30.35,23.3
1789646182458,2026-09-17T11:56:22Z,22.27,41.08,1.5836,1696,28.21,23.2
1789647082458,2026-09-17T12:11:22Z,22.16,41.13,1.5717,1682,30.21,23.1
1789647982458,2026-09-17T12:26:22Z,22.12,41.28,1.5639,1714,26.2,23.0
1789648882458,2026-09-17T12:41:22Z,22.2,42.08,1.5501,1679,31.02,22.9
1789649782298,2026-09-17T12:56:22Z,22.25,41.75,1.5637,1714,26.47,22.8
