ts_ms,iso_utc,temp_c,rh_pct,vpd_kpa,soil_mv,soil_pct,soil_temp_c
1790122269482,2026-09-23T00:11:09Z,22.39,45.03,1.4883,1854,8.02,22.6
1790123169482,2026-09-23T00:26:09Z,21.84,45.87,1.4173,1841,9.89,22.5
1790124069614,2026-09-23T00:41:09Z,21.79,46.68,1.3918,1855,8.29,22.4
1790124969614,2026-09-23T00:56:09Z,22.33,45.81,1.4618,1864,7.09,22.4
1790125869614,2026-09-23T01:11:09Z,22.25,45.78,1.4555,1853,8.56,22.4
1790126769614,2026-09-23T01:26:09Z,22.28,45.34,1.47,1843,9.89,22.4
1790127669510,2026-09-23T01:41:09Z,22.82,46.4,1.4895,1849,9.09,22.4
1790128569510,2026-09-23T01:56:09Z,22.09,46.12,1.4324,1860,7.62,22.4
1790129469067,2026-09-23T02:11:09Z,22.34,46.07,1.4557,1851,8.82,22.4
1790130369067,2026-09-23T02:26:09Z,21.2,46.56,1.3455,1851,8.96,22.3
1790131269067,2026-09-23T02:41:09Z,21.38,48.49,1.3113,1865,7.22,22.2
1790132169067,2026-09-23T02:56:09Z,20.82,47.5,1.2913,1873,6.42,22.1
1790133069305,2026-09-23T03:11:09Z,21.38,46.11,1.3719,1864,8.02,21.9
1790133969305,2026-09-23T03:26:09Z,20.06,45.61,1.2765,1872,7.09,21.8
1790134868825,2026-09-23T03:41:08Z,20.74,44.73,1.3528,1873,7.09,21.7
1790138468825,2026-09-23T04:41:08Z,22.97,42.28,1.6187,1873,6.55,22.0
1790142068825,2026-09-23T05:41:08Z,22.84,46.8,1.4802,1875,5.75,22.3
1790145668825,2026-09-23T06:41:08Z,16.2,56.81,0.7954,1911,5.21,20.0
1790146568825,2026-09-23T06:56:08Z,16.17,58.21,0.7682,1910,6.42,19.5
1790147468825,2026-09-23T07:11:08Z,16.17,59.81,0.7387,1923,5.35,19.1
1790148368825,2026-09-23T07:26:08Z,17.12,55.59,0.8671,1929,5.21,18.8
1790149268713,2026-09-23T07:41:08Z,15.4,60.88,0.6845,1934,5.35,18.4
1790150168713,2026-09-23T07:56:08Z,16.34,60.76,0.7291,1941,4.68,18.2
1790151068713,2026-09-23T08:11:08Z,15.58,63.11,0.653,1942,5.21,17.9
1790151968713,2026-09-23T08:26:08Z,16.06,62.19,0.6901,1941,5.75,17.7
1790151968716,2026-09-23T08:26:08Z,16.06,62.19,0.6901,1941,5.75,17.7
1790152868716,2026-09-23T08:41:08Z,15.9,61.84,0.6894,1942,6.02,17.5
1790153768716,2026-09-23T08:56:08Z,16.1,62.24,0.691,1942,6.42,17.3
1790154668716,2026-09-23T09:11:08Z,15.21,63.93,0.6235,1938,7.49,17.1
1790155568383,2026-09-23T09:26:08Z,15.58,62.09,0.671,1951,6.02,16.9
1790156468383,2026-09-23T09:41:08Z,14.71,63.96,0.6032,1952,6.28,16.7
1790160068383,2026-09-23T10:41:08Z,15.82,64.54,0.6374,1955,6.95,16.2
1790160968383,2026-09-23T10:56:08Z,16.31,63.82,0.671,1955,7.22,16.1
1790161868490,2026-09-23T11:11:08Z,15.62,66.57,0.5933,1955,7.22,16.1
1790162768490,2026-09-23T11:26:08Z,16.93,63.16,0.7107,1953,7.49,16.1
1790163668490,2026-09-23T11:41:08Z,20.1,53.98,1.0828,1952,6.95,16.4
1790164568490,2026-09-23T11:56:08Z,20.49,53.57,1.119,1942,7.35,16.9
1790165468492,2026-09-23T12:11:08Z,20.62,53.43,1.1314,1931,8.02,17.3
1790166368492,2026-09-23T12:26:08Z,20.99,52.86,1.1717,1934,6.68,17.7
1790167268492,2026-09-23T12:41:08Z,21.13,52.38,1.1938,1933,6.02,18.1
1790168168394,2026-09-23T12:56:08Z,21.4,52.86,1.2015,1929,5.75,18.5
1790169068394,2026-09-23T13:11:08Z,21.46,52.44,1.2167,1923,6.02,18.8
1790169968394,2026-09-23T13:26:08Z,21.68,53.19,1.2137,1919,5.75,19.2
1790170868394,2026-09-23T13:41:08Z,21.91,52.02,1.2616,1920,4.95,19.5
1790171768287,2026-09-23T13:56:08Z,22.02,52.13,1.2672,1920,4.41,19.8
1790172668287,2026-09-23T14:11:08Z,22.03,51.84,1.2756,1911,5.21,20.0
1790173568287,2026-09-23T14:26:08Z,22.02,52.06,1.269,1918,3.74,20.3
1790174468097,2026-09-23T14:41:08Z,21.94,52.15,1.2605,1910,4.41,20.5
1790175368097,2026-09-23T14:56:08Z,21.97,52.18,1.262,1899,5.75,20.6
1790176268097,2026-09-23T15:11:08Z,22.11,51.7,1.2856,1908,4.14,20.8
1790177168097,2026-09-23T15:26:08Z,22.16,51.73,1.2887,1905,4.14,21.0
1790178068097,2026-09-23T15:41:08Z,22.3,51.74,1.2995,1895,5.35,21.1
1790178968097,2026-09-23T15:56:08Z,22.35,51.26,1.3164,1896,4.81,21.3
1790179868097,2026-09-23T16:11:08Z,22.29,52.2,1.2863,1908,2.94,21.4
1790180767759,2026-09-23T16:26:07Z,22.56,52.17,1.3084,1899,4.01,21.5
1790181667759,2026-09-23T16:41:07Z,22.72,51.61,1.3366,1895,4.28,21.6
1790182567759,2026-09-23T16:56:07Z,22.75,50.83,1.3606,1887,5.08,21.8
1790183467904,2026-09-23T17:11:07Z,22.66,50.87,1.3521,1899,3.21,21.9
